Posição,Número,Nome,Team,Status,Lesão,Valor de Mercado,player_id
MEI,30,Michael,Flamengo,Active,,4.5,https://www.sofascore.com/football/player/michael/878084
GK,22,Neto,Botafogo,Active,,4.5,https://www.sofascore.com/football/player/neto/84844
GK,25,Matheus Cunha,Cruzeiro,Active,,4.5,https://www.sofascore.com/football/player/matheus-cunha/1105835
MEI,29,Allan,Flamengo,Active,,4.5,https://www.sofascore.com/football/player/allan/828839
MEI,52,Evertton Araujo,Flamengo,Active,,4.5,https://www.sofascore.com/football/player/evertton/1145106
MEI,7,Marquinhos,Cruzeiro,Active,,4.5,https://www.sofascore.com/football/player/marquinhos/1116954
DEF,25,Cacá,Corinthians,Active,,4.5,https://www.sofascore.com/football/player/caca/929200
ATA,31,Luighi Hanri,Palmeiras,Active,,4.5,https://www.sofascore.com/football/player/luighi/1597267
ATA,99,Rodrigo Rodrigues,Coritiba,Active,,4.5,https://www.sofascore.com/football/player/rodrigo-rodrigues/989091
MEI,37,Gabriel Mec,Grêmio,Active,,4.5,https://www.sofascore.com/football/player/gabriel-mec/1895377
DEF,46,Hugo,Corinthians,Active,,4.5,https://www.sofascore.com/football/player/hugo/1017827
ATA,22,Héctor Hernández,Corinthians,Active,,4.5,https://www.sofascore.com/football/player/hector-hernandez/352448
ATA,14,Billal Brahimi,Santos,Active,,4.5,https://www.sofascore.com/football/player/billal-brahimi/948250
MEI,16,Alexander Aravena,Grêmio,Active,,4.5,https://www.sofascore.com/football/player/alexander-aravena/1000502
DEF,43,Luis Benedetti,Palmeiras,Active,,4.5,https://www.sofascore.com/football/player/luis-benedetti/1485284
ATA,31,Kayke Ferrari,Corinthians,Active,,4.5,https://www.sofascore.com/football/player/kayke-ferrari/1411152
ATA,27,Alan Minda,Atlético Mineiro,Active,,4.5,https://www.sofascore.com/football/player/minda-alan/1122552
MEI,28,Adson,Vasco da Gama,Active,,4.5,https://www.sofascore.com/football/player/adson/1105970
ATA,37,Riquelme Fillipi,Palmeiras,Active,,4.5,https://www.sofascore.com/football/player/fillipi-riquelme/1485294
GK,42,Andrew,Flamengo,Active,,4.5,https://www.sofascore.com/football/player/andrew/947893
MEI,49,André Luiz,Corinthians,Active,,4.5,https://www.sofascore.com/football/player/andre-luiz/1647612
MEI,10,Vitor Figueiredo,Palmeiras,Active,,4.5,https://www.sofascore.com/football/player/vitor-figueiredo/1942460
ATA,9,Carlinhos,Remo,Active,,4.5,https://www.sofascore.com/football/player/carlinhos/852534
DEF,38,Caio Paulista,Grêmio,Active,,4.5,https://www.sofascore.com/football/player/caio-paulista/931591
DEF,43,João Marcelo,Cruzeiro,Active,,4.5,https://www.sofascore.com/football/player/joao-marcelo/978638
MEI,14,Guilherme Estrella,Vasco da Gama,Active,,4.5,https://www.sofascore.com/football/player/estrella-guilherme/1634144
GK,51,Kauê,Corinthians,Active,,4.5,https://www.sofascore.com/football/player/kaue/1382923
DEF,12,Gabriel Fuentes,Fluminense,Active,,4.5,https://www.sofascore.com/football/player/gabriel-fuentes/927551
DEF,44,João Pedro Chermont,Santos,Active,,4.5,https://www.sofascore.com/football/player/joao-pedro-chermont/1482361
MEI,5,Walace,Cruzeiro,Active,,4.5,https://www.sofascore.com/football/player/walace/553686
MEI,15,Benjamín Garré,Vasco da Gama,Active,,4.5,https://www.sofascore.com/football/player/benjamin-garre/904847
DEF,4,Mateo Ponte,Botafogo,Active,,4.5,https://www.sofascore.com/football/player/mateo-ponte/1099163
DEF,36,Kauã Prates,Cruzeiro,Active,,4.5,https://www.sofascore.com/football/player/kaua-prates-de-almeida/1887796
ATA,81,Douglas Costa Telles,Flamengo,Active,,4.5,https://www.sofascore.com/football/player/douglas-costa-telles/1883297
ATA,70,Kaique Kenji,Cruzeiro,Active,,4.5,https://www.sofascore.com/football/player/kenji/1647579
MEI,77,Japa,Cruzeiro,Active,,4.5,https://www.sofascore.com/football/player/joao-wellington-japa/1459623
ATA,21,Leozinho,Athletico,Active,,4.5,https://www.sofascore.com/football/player/leonardo-caetano-silva/1546647
DEF,43,Lucas Freitas,Vasco da Gama,Active,,4.5,https://www.sofascore.com/football/player/lucas-freitas/1069729
MEI,7,Joaquín Lavega,Coritiba,Active,,4.5,https://www.sofascore.com/football/player/joaquin-lavega/1122737
MEI,12,Patrick de Paula,Remo,Active,,4.5,https://www.sofascore.com/football/player/patrick-de-paula/1015291
MEI,19,Rubén Lezcano,Fluminense,Active,,4.5,https://www.sofascore.com/football/player/ruben-lezcano/1393308
DEF,18,João Pedro,Grêmio,Active,,4.5,https://www.sofascore.com/football/player/joao-pedro/605528
DEF,23,Guga,Fluminense,Active,,4.5,https://www.sofascore.com/football/player/guga/928134
DEF,12,Victor Luis,Vasco da Gama,Active,,4.5,https://www.sofascore.com/football/player/victor-luis/252781
MEI,30,Felipe Negrucci,São Paulo,Active,,4.5,https://www.sofascore.com/football/player/felipe-negrucci/1485598
MEI,94,Otávio,Fluminense,Active,,4.5,https://www.sofascore.com/football/player/otavio/552686
GK,24,Léo Linck,Botafogo,Active,,4.5,https://www.sofascore.com/football/player/leo-linck/1119887
GK,23,Santos,Athletico,Active,,4.5,https://www.sofascore.com/football/player/santos/166491
GK,24,Aranha,Palmeiras,Active,,4.5,https://www.sofascore.com/football/player/aranha/1587799
DEF,25,Lucas Esteves,Grêmio,Active,,4.5,https://www.sofascore.com/football/player/lucas-esteves/1387272
GK,96,Ronaldo,Bahia,Active,,4.5,https://www.sofascore.com/football/player/ronaldo/840106
MEI,75,Rodriguinho,Cruzeiro,Active,,4.5,https://www.sofascore.com/football/player/rodriguinho/1174770
GK,1,Lucas Arcanjo,Vitória,Active,,4.5,https://www.sofascore.com/football/player/lucas-arcanjo/982558
MEI,2,Lucas Oliveira,Mirassol,Active,,4.5,https://www.sofascore.com/football/player/lucas-oliveira/867907
MEI,47,Gustavo Prado,Internacional,Active,,4.5,https://www.sofascore.com/football/player/gustavo-prado/1485220
MEI,6,Pepê,Vitória,Active,,4.5,https://www.sofascore.com/football/player/pepe/946945
ATA,59,Pedro Leão,Flamengo,Active,,4.5,https://www.sofascore.com/football/player/pedro-henrique-leao-alves-lopes/1641243
MEI,10,Chico,Mirassol,Active,,4.5,https://www.sofascore.com/football/player/chico/880132
MEI,5,Rezende,Bahia,Active,,4.5,https://www.sofascore.com/football/player/rezende/868030
GK,31,Carlos Coronel,São Paulo,Active,,4.5,https://www.sofascore.com/football/player/carlos-coronel/800150
MEI,48,Larson,Palmeiras,Active,,4.5,https://www.sofascore.com/football/player/larson/2057364
DEF,13,João Basso,Santos,Active,,4.5,https://www.sofascore.com/football/player/joao-basso/850955
MEI,27,Vitinho,Cruzeiro,Active,,4.5,https://www.sofascore.com/football/player/amorim-de-assis-vitor-hugo/1836052
MEI,65,Riquelme Freitas,Grêmio,Active,,4.5,https://www.sofascore.com/football/player/riquelme-freitas-dos-santos/1634619
MEI,20,Víctor Cantillo,Remo,Active,,4.5,https://www.sofascore.com/football/player/victor-cantillo/355802
GK,24,Anthoni,Internacional,Active,,4.5,https://www.sofascore.com/football/player/anthoni/1106134
MEI,33,Ignacio Laquintana,Red Bull Bragantino,Active,,4.5,https://www.sofascore.com/football/player/ignacio-laquintana/948004
MEI,27,Camilo,Chapecoense,Active,,4.5,https://www.sofascore.com/football/player/camilo/975319
ATA,11,Fernando,Red Bull Bragantino,Active,,4.5,https://www.sofascore.com/football/player/fernando/911195
MEI,35,Murilo Rhikman,Cruzeiro,Active,,4.5,https://www.sofascore.com/football/player/murilo-rhikman-alves-pimentel/1589354
MEI,47,Mateus Xavier de Sousa,Santos,Active,,4.5,https://www.sofascore.com/football/player/mateus-xavier/1884605
DEF,22,Paulinho,Vasco da Gama,Active,,4.5,https://www.sofascore.com/football/player/paulinho/1464309
MEI,5,Rodrigo Villagra,Internacional,Active,,4.5,https://www.sofascore.com/football/player/rodrigo-villagra/978563
MEI,11,Osvaldo,Vitória,Active,,4.5,https://www.sofascore.com/football/player/osvaldo/90468
MEI,53,Dudu,Athletico,Active,,4.5,https://www.sofascore.com/football/player/dudu/1482354
DEF,2,Igor Felisberto,São Paulo,Active,,4.5,https://www.sofascore.com/football/player/igor-teixeira-felisberto/1631911
MEI,8,Nathan,Remo,Active,,4.5,https://www.sofascore.com/football/player/nathan/358538
MEI,19,Hyoran,Internacional,Active,,4.5,https://www.sofascore.com/football/player/hyoran/551348
DEF,18,Juninho,Internacional,Active,,4.5,https://www.sofascore.com/football/player/juninho/799947
DEF,23,Nathan,Santos,Active,,4.5,https://www.sofascore.com/football/player/nathan/1016912
DEF,33,Janderson,Cruzeiro,Active,,4.5,https://www.sofascore.com/football/player/jose-janderson-da-silva-marques/1588663
MEI,21,Dudu,Vitória,Active,,4.5,https://www.sofascore.com/football/player/dudu/1124220
MEI,21,Jhosefer,Cruzeiro,Active,,4.5,https://www.sofascore.com/football/player/januario-jhosefer-raphael/1868440
MEI,25,Bruno Praxedes,Red Bull Bragantino,Active,,4.5,https://www.sofascore.com/football/player/bruno-praxedes/1018093
MEI,57,João Cruz,Athletico,Active,,4.5,https://www.sofascore.com/football/player/joao-cruz/1485226
ATA,23,Fabrício Santos,Vitória,Active,,4.5,https://www.sofascore.com/football/player/fabricio-santos/975351
ATA,38,Marrony,Remo,Active,,4.5,https://www.sofascore.com/football/player/marrony/926871
ATA,39,Arthur Sousa,Red Bull Bragantino,Active,,4.5,https://www.sofascore.com/football/player/arthur-sousa/1170780
DEF,55,Wallace Davi,Botafogo,Active,,4.5,https://www.sofascore.com/football/player/wallace-davi-nunes/1884816
MEI,68,Jota,Bahia,Active,,4.5,https://www.sofascore.com/football/player/jota/1200993
MEI,20,Jean Carlos,Chapecoense,Active,,4.5,https://www.sofascore.com/football/player/jean-carlos/850475
DEF,6,Bruno Pacheco,Chapecoense,Active,,4.5,https://www.sofascore.com/football/player/bruno-pacheco/870691
DEF,13,Marllon,Remo,Active,,4.5,https://www.sofascore.com/football/player/marllon/221206
DEF,56,Nicolas Bosshardt,São Paulo,Active,,4.5,https://www.sofascore.com/football/player/nicolas-bosshardt/1892395
MEI,6,Vitinho,Internacional,Active,,4.5,https://www.sofascore.com/football/player/vitinho/840210
MEI,25,Clayson,Coritiba,Active,,4.5,https://www.sofascore.com/football/player/clayson/811308
MEI,48,Mateus Jose Iseppe,Atlético Mineiro,Active,,4.5,https://www.sofascore.com/football/player/iseppe-mateus-jose/2231192
ATA,47,Vitinho,Palmeiras,Active,,4.5,https://www.sofascore.com/football/player/vitinho/1174927
DEF,77,Neris,Vitória,Active,,4.5,https://www.sofascore.com/football/player/neris/840247
DEF,45,Nathan Mendes,Vitória,Active,,4.5,https://www.sofascore.com/football/player/nathan-mendes/1116955
DEF,33,Juan Felipe Aguirre,Athletico,Active,,4.5,https://www.sofascore.com/football/player/juan-felipe-aguirre/925173
MEI,11,Isaac,Athletico,Active,,4.5,https://www.sofascore.com/football/player/isaac/1464519
ATA,17,Rafael Monti,Remo,Active,,4.5,https://www.sofascore.com/football/player/rafael-monti/2024892
DEF,42,Nicolas Pontes,Cruzeiro,Active,,4.5,https://www.sofascore.com/football/player/nicolas-pontes/1647577
ATA,80,Joao Camargo,Flamengo,Active,,4.5,https://www.sofascore.com/football/player/camargo-joao/2408644
DEF,23,Agustin Sant'Anna,Red Bull Bragantino,Active,,4.5,https://www.sofascore.com/football/player/agustin-santanna/869726
ATA,17,Renan Viana,Athletico,Active,,4.5,https://www.sofascore.com/football/player/renan-viana/1459787
MEI,21,José Aldo,Mirassol,Active,,4.5,https://www.sofascore.com/football/player/jose-aldo/988851
MEI,58,Lucas Eduardo,Vasco da Gama,Active,,4.5,https://www.sofascore.com/football/player/lucas-eduardo/1463560
MEI,39,Gustavo,Coritiba,Active,,4.5,https://www.sofascore.com/football/player/gustavo/1099747
MEI,5,Felipinho,Athletico,Active,,4.5,https://www.sofascore.com/football/player/felipinho/1107060
DEF,13,Carlos Teran,Athletico,Active,,4.5,https://www.sofascore.com/football/player/carlos-teran/974512
MEI,20,Rúben Rodrigues,Vitória,Active,,4.5,https://www.sofascore.com/football/player/ruben-rodrigues/946563
ATA,78,Renato Marques,Mirassol,Active,,4.5,https://www.sofascore.com/football/player/marques-renato/1194689
ATA,30,Bruno Goncalves De Jesus,Red Bull Bragantino,Active,,4.5,https://www.sofascore.com/football/player/goncalves-de-jesus-bruno/1868441
MEI,77,Panagiotis Tachtsidis,Remo,Active,,4.5,https://www.sofascore.com/football/player/panagiotis-tachtsidis/32985
MEI,97,Ênio,Chapecoense,Active,,4.5,https://www.sofascore.com/football/player/enio/1015935
MEI,22,Gustavo Neves,Red Bull Bragantino,Active,,4.5,https://www.sofascore.com/football/player/gustavo-neves/1463904
MEI,38,Hugo Leonardo,São Paulo,Active,,4.5,https://www.sofascore.com/football/player/hugo-leonardo-nunes-fernandes-santos/1587927
MEI,11,Felipe Cardoso,Vitória,Active,,4.5,https://www.sofascore.com/football/player/felipe-cardoso/1652635
MEI,22,Régis,Remo,Active,,4.5,https://www.sofascore.com/football/player/regis/335365
DEF,14,Lucas Belezi,Athletico,Active,,4.5,https://www.sofascore.com/football/player/belezi-lucas/1130040
DEF,22,Madson,Athletico,Active,,4.5,https://www.sofascore.com/football/player/madson/243439
MEI,35,Pedro Padula,Santos,Active,,4.5,https://www.sofascore.com/football/player/pedro-padula-tobias/1888795
DEF,4,Rodrigo Moledo,Coritiba,Active,,4.5,https://www.sofascore.com/football/player/rodrigo-moledo/72080
MEI,11,Bruninho Braga Ramos,Athletico,Active,,4.5,https://www.sofascore.com/football/player/bruninho-braga-ramos/2436878
DEF,2,Alex Nascimento,Santos,Active,,4.5,https://www.sofascore.com/football/player/alex-nascimento/931556
ATA,9,Nathan Fogaça,Mirassol,Active,,4.5,https://www.sofascore.com/football/player/nathan-fogaca/934638
MEI,43,Agner,Fluminense,Active,,4.5,https://www.sofascore.com/football/player/agner/2057300
ATA,,Diego Campos Minete,Vasco da Gama,Active,,4.5,https://www.sofascore.com/football/player/minete-diego-campos/2337474
ATA,57,Kaue Furquim,Bahia,Active,,4.5,https://www.sofascore.com/football/player/kaue-furquim/2297112
MEI,17,Vinicius Balieiro,Santos,Active,,4.5,https://www.sofascore.com/football/player/vinicius-balieiro/1065976
DEF,20,Daniel Borges,Mirassol,Active,,4.5,https://www.sofascore.com/football/player/daniel-borges/794874
DEF,,Rodrigues,Mirassol,Active,,4.5,https://www.sofascore.com/football/player/rodrigues/976188
MEI,22,Higor Meritão,Chapecoense,Active,,4.5,https://www.sofascore.com/football/player/higor-meritao/973845
MEI,50,David Kauã,Atlético Mineiro,Active,,4.5,https://www.sofascore.com/football/player/david-kaua/1485268
ATA,9,Perotti,Chapecoense,Active,,4.5,https://www.sofascore.com/football/player/perotti/840076
DEF,26,Bruno Melo,Coritiba,Active,,4.5,https://www.sofascore.com/football/player/bruno-melo/870851
MEI,27,Davi Gomes,Red Bull Bragantino,Active,,4.5,https://www.sofascore.com/football/player/davi-gomes/2032806
MEI,8,Wallisson Luiz,Coritiba,Active,,4.5,https://www.sofascore.com/football/player/wallisson-luiz/922601
MEI,15,Raul,Athletico,Active,,4.5,https://www.sofascore.com/football/player/raul/870760
DEF,4,Diogo Antônio,Vitória,Active,,4.5,https://www.sofascore.com/football/player/diogo-antonio-rodrigues-da-silva/1631803
MEI,41,Wallyson Breno Freitas da Silva,Atlético Mineiro,Active,,4.5,https://www.sofascore.com/football/player/wallyson-breno-freitas-da-silva/1829044
MEI,80,João Neto,Red Bull Bragantino,Active,,4.5,https://www.sofascore.com/football/player/joao-neto/990454
DEF,3,Eduardo Santos,Red Bull Bragantino,Active,,4.5,https://www.sofascore.com/football/player/eduardo-santos/925189
MEI,33,Benjamin Arhin,Internacional,Active,,4.5,https://www.sofascore.com/football/player/benjamin-arhin/2027868
MEI,42,Miqueias,Bahia,Active,,4.5,https://www.sofascore.com/football/player/miqueias/1172986
DEF,3,Thalisson Gabriel,Remo,Active,,4.5,https://www.sofascore.com/football/player/thalisson-gabriel/1109577
MEI,38,Índio,Atlético Mineiro,Active,,4.5,https://www.sofascore.com/football/player/hendel-dos-santos-nascimento/1829023
MEI,15,Khensane Mpusane Eustaquio Machel,Coritiba,Active,,4.5,https://www.sofascore.com/football/player/khensane-mpusane-eustaquio-machel/2080527
MEI,57,Rayan Lelis,Cruzeiro,Active,,4.5,https://www.sofascore.com/football/player/rayan-lelis/2409599
DEF,4,Luiz Otávio,Mirassol,Active,,4.5,https://www.sofascore.com/football/player/luiz-otavio/874778
ATA,19,Gabriel Novaes,Red Bull Bragantino,Active,,4.5,https://www.sofascore.com/football/player/gabriel-novaes/882854
DEF,8,Dudu,Athletico,Active,,4.5,https://www.sofascore.com/football/player/dudu/859083
ATA,31,Dodô,Remo,Active,,4.5,https://www.sofascore.com/football/player/dodo/338839
MEI,11,Talisson,Red Bull Bragantino,Active,,4.5,https://www.sofascore.com/football/player/talisson/1463902
DEF,4,Habraão,Athletico,Active,,4.5,https://www.sofascore.com/football/player/habraao/1167540
ATA,98,Werik Popó,Red Bull Bragantino,Active,,4.5,https://www.sofascore.com/football/player/werik-popo/1186631
MEI,7,Giovanni Pavani,Remo,Active,,4.5,https://www.sofascore.com/football/player/giovanni-pavani/1176815
DEF,16,Sávio,Remo,Active,,4.5,https://www.sofascore.com/football/player/savio/866369
MEI,35,Igor Toledo,Atlético Mineiro,Active,,4.5,https://www.sofascore.com/football/player/igor-toledo/1645891
ATA,39,Eduardo Melo,Remo,Active,,4.5,https://www.sofascore.com/football/player/eduardo-melo/1018777
DEF,79,Marcelinho,Remo,Active,,4.5,https://www.sofascore.com/football/player/marcelinho/986868
ATA,70,Renan Peixoto Nepomuceno,Athletico,Active,,4.5,https://www.sofascore.com/football/player/renan-peixoto-nepomuceno/2436885
MEI,36,Vini Paulista,Coritiba,Active,,4.5,https://www.sofascore.com/football/player/paulista-vini/1111139
MEI,55,Zé Ricardo,Remo,Active,,4.5,https://www.sofascore.com/football/player/ze-ricardo/943044
MEI,60,Luis Aucélio,Vitória,Active,,4.5,https://www.sofascore.com/football/player/luis-aucelio/1835671
ATA,49,João Bezerra,Internacional,Active,,4.5,https://www.sofascore.com/football/player/joao-bezerra/2429684
MEI,31,Allex,Internacional,Active,,4.5,https://www.sofascore.com/football/player/allex/1485191
MEI,40,Jeferson Forneck,Grêmio,Active,,4.5,https://www.sofascore.com/football/player/jeferson-forneck/1588363
DEF,6,Rodrigo Gelado,Coritiba,Active,,4.5,https://www.sofascore.com/football/player/rodrigo-gelado/1465499
DEF,17,Cristian Tassano,Remo,Active,,4.5,https://www.sofascore.com/football/player/cristian-tassano/790099
DEF,87,Daniel Silva,Flamengo,Active,,4.5,https://www.sofascore.com/football/player/daniel-silva/2445457
ATA,33,David da Hora,Coritiba,Active,,4.5,https://www.sofascore.com/football/player/david/1104714
MEI,50,Gustavo dos Santos,Internacional,Active,,4.5,https://www.sofascore.com/football/player/dos-santos-gustavo/2111049
MEI,54,João Vitor Couto,Flamengo,Active,,4.5,https://www.sofascore.com/football/player/joao-couto/2445458
DEF,2,Marcos Vinícius,Chapecoense,Active,,4.5,https://www.sofascore.com/football/player/marcos-vinicius/942054
DEF,4,Gabriel Justino,Botafogo,Active,,4.5,https://www.sofascore.com/football/player/gabriel-justino/1631268
GK,12,Matheus Soares,Athletico,Active,,4.5,https://www.sofascore.com/football/player/matheus-rocha/1485244
GK,1,Yuri Sena,Vitória,Active,,4.5,https://www.sofascore.com/football/player/yuri-sena/905464
ATA,70,Rubens Tadeu,Chapecoense,Active,,4.5,https://www.sofascore.com/football/player/rubens-tadeu/1470928
DEF,5,Léo,Remo,Active,,4.5,https://www.sofascore.com/football/player/leo/903027
ATA,29,Cauã Soares,Atlético Mineiro,Active,,4.5,https://www.sofascore.com/football/player/caua-soares/2118857
DEF,64,Walace,Vasco da Gama,Active,,4.5,https://www.sofascore.com/football/player/walace/2028691
MEI,71,Lyan Araujo,Bahia,Active,,4.5,https://www.sofascore.com/football/player/lyan-araujo/2076565
MEI,5,Diogo Riquelme,Athletico,Active,,4.5,https://www.sofascore.com/football/player/diogo-riquelme/1635772
DEF,48,Kaiquy Luiz,Cruzeiro,Active,,4.5,https://www.sofascore.com/football/player/kaiquy-luiz/2437587
ATA,41,Wendell dos Santos Sacramento,Vitória,Active,,4.5,https://www.sofascore.com/football/player/wendell-sacramento/1835894
DEF,3,Eduardo Doma,Chapecoense,Active,,4.5,https://www.sofascore.com/football/player/eduardo-doma/1122967
GK,12,Léo Vieira,Chapecoense,Active,,4.5,https://www.sofascore.com/football/player/leo-vieira/166279
MEI,10,Kempes,Internacional,Active,,4.5,https://www.sofascore.com/football/player/joao-gabriel-kempes-goncalves/2173264
GK,87,Gabriel Leite,Coritiba,Active,,4.5,https://www.sofascore.com/football/player/gabriel-leite/870928
ATA,41,Murillo Fernandes,Atlético Mineiro,Active,,4.5,https://www.sofascore.com/football/player/murillo-fernandes/2440352
DEF,45,Yan Henrique,Internacional,Active,,4.5,https://www.sofascore.com/football/player/yan-henrique/1465212
ATA,,Caio Suassuna,Bahia,Active,,4.5,https://www.sofascore.com/football/player/caio-suassuna-goncalves-ferreira/1831095
DEF,33,Bruno Leonardo,Chapecoense,Active,,4.5,https://www.sofascore.com/football/player/bruno-leonardo/840280
MEI,35,Freitas,Remo,Active,,4.5,https://www.sofascore.com/football/player/freitas/1464525
MEI,50,Wanderson Papaterra Matos,Vitória,Active,,4.5,https://www.sofascore.com/football/player/wanderson-papaterra-matos/2025531
ATA,50,Paulo Roberto,Vitória,Active,,4.5,https://www.sofascore.com/football/player/paulo-roberto-dos-santos-almeida/2112480
ATA,9,Walace dos Santos França,Athletico,Active,,4.5,https://www.sofascore.com/football/player/walace-dos-santos-franca/2436887
DEF,,Renan,Vasco da Gama,Active,,4.5,https://www.sofascore.com/football/player/renan/2443056
ATA,90,Mailson,Chapecoense,Active,,4.5,https://www.sofascore.com/football/player/mailson/1652653
ATA,57,Marcelinho Braz,Red Bull Bragantino,Active,,4.5,https://www.sofascore.com/football/player/marcelinho-braz/1485603
MEI,,Pedro Alves,Atlético Mineiro,Active,,4.5,https://www.sofascore.com/football/player/pedro-alves/2440353
ATA,14,Enzo Vagner Moraes de Souza,Coritiba,Active,,4.5,https://www.sofascore.com/football/player/enzo-vagner-moraes-de-souza/1634871
DEF,25,Victor Caetano,Chapecoense,Active,,4.5,https://www.sofascore.com/football/player/victor-caetano/863292
MEI,8,Matheus Dalsasso Dias,Coritiba,Active,,4.5,https://www.sofascore.com/football/player/dias-matheus/1836073
MEI,17,Ítalo Machado,Vitória,Active,,4.5,https://www.sofascore.com/football/player/italo-machado/1857960
DEF,3,Danillo,Botafogo,Active,,4.5,https://www.sofascore.com/football/player/danillo-dos-santos-de-oliveira/1828978
MEI,10,Guilherme Back,Athletico,Active,,4.5,https://www.sofascore.com/football/player/guilherme-back/1631228
ATA,18,Brayan Gravelo,Coritiba,Active,,4.5,https://www.sofascore.com/football/player/brayan-gravelo/2433419
MEI,,Pedrinho,Bahia,Active,,4.5,https://www.sofascore.com/football/player/pedrinho/2442965
MEI,5,Vitor Gonçalves Tissi,Coritiba,Active,,4.5,https://www.sofascore.com/football/player/vitor-goncalves-tissi/1864296
MEI,16,Kauan Augusto Stabelini,Athletico,Active,,4.5,https://www.sofascore.com/football/player/kauan-augusto-stabelini/2025640
DEF,,Luis Gustavo,Atlético Mineiro,Active,,4.5,https://www.sofascore.com/football/player/luis-gustavo/2443880
MEI,,Victor Hugo,Bahia,Active,,4.5,https://www.sofascore.com/football/player/victor-hugo-oliveira-de-carvalho/1634969
MEI,23,Renatinho Conceição Santos da Silva,Coritiba,Active,,4.5,https://www.sofascore.com/football/player/renato-conceicao-santos-da-silva/2030892
ATA,17,Kauê Sestrem,Athletico,Active,,4.5,https://www.sofascore.com/football/player/kaue-sestrem/1804705
ATA,18,Lucas Guimarães Amorim,Athletico,Active,,4.5,https://www.sofascore.com/football/player/lucas-guimaraes-amorim/2436884
DEF,40,Ramires,Mirassol,Active,,4.5,https://www.sofascore.com/football/player/ramires/2408576
ATA,18,Matheusinho,Botafogo,Active,,4.5,https://www.sofascore.com/football/player/matheusinho/2446049
MEI,16,Pedro Martins,Botafogo,Active,,4.5,https://www.sofascore.com/football/player/pedro-martins/2446050
GK,,Maksym,Athletico,Active,,4.5,https://www.sofascore.com/football/player/maksym/2442956
ATA,16,Gustavo Sobral Alves Pereira,Vitória,Active,,4.5,https://www.sofascore.com/football/player/gustavo-sobral-alves-pereira/2440222
ATA,22,Ruan Lima,Coritiba,Active,,4.5,https://www.sofascore.com/football/player/ruan-lima/1464672
MEI,24,Bernardo,Vitória,Active,,4.5,https://www.sofascore.com/football/player/bernardo/2442387
ATA,,Benjamin dos Santos,Athletico,Active,,4.5,https://www.sofascore.com/football/player/benjamin-dos-santos/2441561
MEI,19,David Antunes da Silva,Chapecoense,Active,,4.5,https://www.sofascore.com/football/player/david-antunes/2083032
MEI,,Gustavo Sobral,Vitória,Active,,4.5,https://www.sofascore.com/football/player/gustavo-sobral/2444742
DEF,26,Claudinho,Athletico,Active,,4.5,https://www.sofascore.com/football/player/claudinho/2445318
DEF,,Lucas Perez,Coritiba,Active,,4.5,https://www.sofascore.com/football/player/lucas-perez/2438957
DEF,,João Gabriel,Vitória,Active,,4.5,https://www.sofascore.com/football/player/joao-gabriel/2444743
DEF,4,Félix Torres,Internacional,Active,,4.0,https://www.sofascore.com/football/player/felix-torres/881848
MEI,35,Charles,Corinthians,Active,,4.0,https://www.sofascore.com/football/player/charles/845178
GK,32,Matheus Donelli,Corinthians,Active,,4.0,https://www.sofascore.com/football/player/matheus-donelli/1002609
DEF,23,Iván Román,Atlético Mineiro,Active,,4.0,https://www.sofascore.com/football/player/ivan-roman/1464929
DEF,15,Léo Mana,Corinthians,Active,,4.0,https://www.sofascore.com/football/player/leo-mana/1170769
GK,49,Dyogo Alves,Flamengo,Active,,4.0,https://www.sofascore.com/football/player/dyogo-alves/1514629
GK,14,Marcelo Lomba,Palmeiras,Active,,4.0,https://www.sofascore.com/football/player/marcelo-lomba/34141
GK,40,Felipe Longo,Corinthians,Active,,4.0,https://www.sofascore.com/football/player/felipe-longo/1485272
GK,50,Young,São Paulo,Active,,4.0,https://www.sofascore.com/football/player/young/1116957
GK,34,João Paulo,Bahia,Active,,4.0,https://www.sofascore.com/football/player/joao-paulo/795177
DEF,51,Daniel Sales,Flamengo,Active,,4.0,https://www.sofascore.com/football/player/sales-daniel/1459762
GK,12,Gabriel Grando,Grêmio,Active,,4.0,https://www.sofascore.com/football/player/gabriel-grando/1111770
GK,27,Marcelo Pitaluga,Fluminense,Active,,4.0,https://www.sofascore.com/football/player/marcelo-pitaluga/1093974
DEF,21,Thiago Santos,Coritiba,Active,,4.0,https://www.sofascore.com/football/player/thiago-santos/378590
GK,13,Daniel Fuzato,Vasco da Gama,Active,,4.0,https://www.sofascore.com/football/player/daniel-fuzato/863276
DEF,21,Igor Rabello,Fluminense,Active,,4.0,https://www.sofascore.com/football/player/igor-rabello/753662
DEF,44,Luiz Gustavo,Bahia,Active,,4.0,https://www.sofascore.com/football/player/gustavo-luiz/1634148
DEF,25,Iago Borduchi,Bahia,Active,,4.0,https://www.sofascore.com/football/player/iago/869644
DEF,59,João Vitor,Corinthians,Active,,4.0,https://www.sofascore.com/football/player/jacare/2039254
GK,1,Mycael,Athletico,Active,,4.0,https://www.sofascore.com/football/player/mycael/1128850
GK,81,Otávio Costa,Cruzeiro,Active,,4.0,https://www.sofascore.com/football/player/otavio-eleodoro-rezende-costa/1589358
DEF,13,Renato Santos,Corinthians,Active,,4.0,https://www.sofascore.com/football/player/renato-santos/1411159
