Posição,Número,Nome,Nacionalidade,Altura,Nascimento,Team,Valor de Mercado,player_id
Defender,16,Gustavo Marques,BRA,189.0,09/10/2001,Red Bull Bragantino,1.4,https://www.sofascore.com/football/player/gustavo-marques/1174764
Defender,23,Agustin Sant'Anna,URU,170.0,27/09/1997,Red Bull Bragantino,2.9,https://www.sofascore.com/football/player/agustin-santanna/869726
Defender,45,Nathan Mendes,BRA,182.0,19/08/2002,Red Bull Bragantino,1.0,https://www.sofascore.com/football/player/nathan-mendes/1116955
Defender,13,Sergio Palacios,COL,195.0,14/02/2005,Red Bull Bragantino,0.94,https://www.sofascore.com/football/player/palacios-sergio/1525493
Defender,4,Lucas Cunha,BRA,186.0,23/01/1997,Red Bull Bragantino,1.5,https://www.sofascore.com/football/player/lucas-cunha/794139
Defender,3,Eduardo Santos,BRA,196.0,28/11/1997,Red Bull Bragantino,0.875,https://www.sofascore.com/football/player/eduardo-santos/925189
Goalkeeper,1,Cleiton,BRA,190.0,19/08/1997,Red Bull Bragantino,2.9,https://www.sofascore.com/football/player/cleiton/844576
Goalkeeper,40,Lucão,BRA,190.0,26/02/2001,Red Bull Bragantino,1.3,https://www.sofascore.com/football/player/lucao/981586
Goalkeeper,37,Fabrício,BRA,190.0,15/06/2000,Red Bull Bragantino,0.096,https://www.sofascore.com/football/player/fabricio/1047208
Goalkeeper,24,Fernando Costa,BRA,191.0,01/02/2004,Red Bull Bragantino,0.0,https://www.sofascore.com/football/player/pires-costa-fernando-henrique/2140167
Forward,99,Pablo Vegetti,ARG,187.0,15/10/1988,Vasco Da Gama,0.68,https://www.sofascore.com/football/player/pablo-vegetti/583974
Forward,9,Matheus França,BRA,184.0,01/04/2004,Vasco Da Gama,9.3,https://www.sofascore.com/football/player/matheus-franca/1116593
Forward,19,Gabriel Souza,BRA,190.0,05/01/2005,Vasco Da Gama,3.1,https://www.sofascore.com/football/player/gabriel-souza-gb/1444693
Forward,-,Diego Campos Minete,BRA,183.0,27/01/2009,Vasco Da Gama,0.052,https://www.sofascore.com/football/player/minete-diego-campos/2337474
Midfielder,10,Philippe Coutinho,BRA,172.0,12/06/1992,Vasco Da Gama,3.7,https://www.sofascore.com/football/player/philippe-coutinho/119159
Midfielder,77,Rayan,BRA,185.0,03/08/2006,Vasco Da Gama,24.0,https://www.sofascore.com/football/player/rayan/1464966
Midfielder,17,Nuno Moreira,POR,173.0,16/06/1999,Vasco Da Gama,4.5,https://www.sofascore.com/football/player/nuno-moreira/851285
Midfielder,11,Andrés Gómez,COL,172.0,12/09/2002,Vasco Da Gama,4.9,https://www.sofascore.com/football/player/andres-gomez/1160386
Midfielder,3,Tchê Tchê,BRA,175.0,30/08/1992,Vasco Da Gama,0.95,https://www.sofascore.com/football/player/tche-tche/840398
Midfielder,7,David,BRA,179.0,17/10/1995,Vasco Da Gama,1.6,https://www.sofascore.com/football/player/david/840291
Midfielder,28,Adson,BRA,171.0,06/10/2000,Vasco Da Gama,2.3,https://www.sofascore.com/football/player/adson/1105970
Midfielder,25,Hugo Moura,BRA,177.0,03/01/1998,Vasco Da Gama,1.3,https://www.sofascore.com/football/player/hugo-moura/973293
Midfielder,88,Cauan Barros,BRA,183.0,06/05/2004,Vasco Da Gama,3.2,https://www.sofascore.com/football/player/barros-cauan/1444694
Midfielder,8,Jair,BRA,178.0,26/08/1994,Vasco Da Gama,1.7,https://www.sofascore.com/football/player/jair/268419
Midfielder,6,Juan Sforza,ARG,179.0,14/02/2002,Vasco Da Gama,6.6,https://www.sofascore.com/football/player/juan-sforza/1003013
Midfielder,14,Guilherme Estrella,BRA,185.0,22/04/2005,Vasco Da Gama,0.094,https://www.sofascore.com/football/player/estrella-guilherme/1634144
Midfielder,23,Thiago Mendes,BRA,176.0,15/03/1992,Vasco Da Gama,1.2,https://www.sofascore.com/football/player/thiago-mendes/329303
Midfielder,15,Benjamín Garré,ARG,171.0,11/07/2000,Vasco Da Gama,4.1,https://www.sofascore.com/football/player/benjamin-garre/904847
Midfielder,85,Mateus Carvalho,BRA,180.0,18/03/2002,Vasco Da Gama,1.5,https://www.sofascore.com/football/player/mateus-carvalho/1391962
Midfielder,21,Johan Rojas,COL,180.0,20/09/2002,Vasco Da Gama,3.7,https://www.sofascore.com/football/player/johan-rojas/1173373
Midfielder,98,,BRA,182.0,19/04/2005,Vasco Da Gama,2.2,https://www.sofascore.com/football/player/joao-pedro/1641124
Midfielder,66,Leandrinho,BRA,170.0,17/03/2005,Vasco Da Gama,1.9,https://www.sofascore.com/football/player/leandrinho/1589416
Midfielder,23,Maxime Dominguez,SUI,172.0,01/02/1996,Vasco Da Gama,1.2,https://www.sofascore.com/football/player/maxime-dominguez/282233
Midfielder,58,Lucas Eduardo,BRA,173.0,13/01/2004,Vasco Da Gama,0.049,https://www.sofascore.com/football/player/lucas-eduardo/1463560
Defender,96,Paulo Henrique,BRA,175.0,25/07/1996,Vasco Da Gama,5.8,https://www.sofascore.com/football/player/paulo-henrique/1021721
Defender,46,Carlos Cuesta,COL,179.0,09/03/1999,Vasco Da Gama,7.4,https://www.sofascore.com/football/player/carlos-cuesta/839095
Defender,6,Lucas Piton,BRA,176.0,09/10/2000,Vasco Da Gama,6.6,https://www.sofascore.com/football/player/lucas-piton/982174
Defender,30,Robert Renan,BRA,186.0,11/10/2003,Vasco Da Gama,9.6,https://www.sofascore.com/football/player/robert-renan/1191278
Defender,2,Puma Rodríguez,URU,183.0,14/03/1997,Vasco Da Gama,1.5,https://www.sofascore.com/football/player/puma-rodriguez/877591
Defender,43,Lucas Freitas,BRA,184.0,20/01/2001,Vasco Da Gama,1.0,https://www.sofascore.com/football/player/lucas-freitas/1069729
Defender,12,Victor Luis,BRA,180.0,23/06/1993,Vasco Da Gama,0.38,https://www.sofascore.com/football/player/victor-luis/252781
Defender,25,Riquelme,BRA,173.0,28/08/2002,Vasco Da Gama,1.3,https://www.sofascore.com/football/player/riquelme/1016905
Defender,4,Alan Saldivia,URU,180.0,06/04/2002,Vasco Da Gama,1.1,https://www.sofascore.com/football/player/alan-saldivia/1112908
